category;title;price;available_quantity;sold_quantity;permalink
chromecast;Google Chromecast 3rd Gen Full Hd Internet Streaming Netflix;6487;1;2;https://articulo.mercadolibre.com.ar/MLA-897616926-google-chromecast-3rd-gen-full-hd-internet-streaming-netflix-_JM
chromecast;Google Chromecast 3 Generación Smart Tv Usb Ga00439-us;6852;1;3;https://articulo.mercadolibre.com.ar/MLA-828738424-google-chromecast-3-generacion-smart-tv-usb-ga00439-us-_JM
chromecast;Google Chromecast 3rd Generation Full Hd Fuente Y Adaptador;7499;1;2;https://articulo.mercadolibre.com.ar/MLA-901226499-google-chromecast-3rd-generation-full-hd-fuente-y-adaptador-_JM
chromecast;Google Chromecast 3 Generacion En Caja 100% Original Usb;7249;50;500;https://articulo.mercadolibre.com.ar/MLA-615552953-google-chromecast-3-generacion-en-caja-100-original-usb-_JM
chromecast;Chrome Cast 3ra Gen Hdmi Wifi Dual Band Envío Gratis;7869.69;1;5;https://articulo.mercadolibre.com.ar/MLA-790427658-chrome-cast-3ra-gen-hdmi-wifi-dual-band-envio-gratis-_JM
chromecast;Google Chromecast 3 Smart Tv Hdmi Usb Garantia Otero Hogar;6178.94;1;5;https://articulo.mercadolibre.com.ar/MLA-784446362-google-chromecast-3-smart-tv-hdmi-usb-garantia-otero-hogar-_JM
chromecast;Rosario Google Chromecast 3 Converti Tu Tv En Smart;6295;1;5;https://articulo.mercadolibre.com.ar/MLA-635838520-rosario-google-chromecast-3-converti-tu-tv-en-smart-_JM
chromecast;Google Chromecast 3ra Generacion Smart Tv Netflix  Wifi;6055;1;500;https://articulo.mercadolibre.com.ar/MLA-699101376-google-chromecast-3ra-generacion-smart-tv-netflix-wifi-_JM
chromecast;Google Chromecast 3ra Generacion Smart Tv Usb + Adapt Ramos;9984.99;1;5;https://articulo.mercadolibre.com.ar/MLA-637868001-google-chromecast-3ra-generacion-smart-tv-usb-adapt-ramos-_JM
chromecast;Google Chromecast 3ra Generación;7999;1;5;https://articulo.mercadolibre.com.ar/MLA-848053005-google-chromecast-3ra-generacion-_JM
fire stick;Amazon Fire Tv Stick 4k  De Voz 4k 8gb  Negro Con Memoria Ram De 1.5gb;7420;26;565;https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-de-15gb/p/MLA14141341
fire stick;Amazon Fire Tv Stick 2nd Generation  De Voz Full Hd 8gb  Negro Con Memoria Ram De 1gb;6999;18;31;https://www.mercadolibre.com.ar/amazon-fire-tv-stick-2nd-generation-de-voz-full-hd-8gb-negro-con-memoria-ram-de-1gb/p/MLA12188540
fire stick;Amazon Fire Tv Stick Lite  De Voz Full Hd 8gb  Negro Con Memoria Ram De 1gb;6268.68;13;4;https://www.mercadolibre.com.ar/amazon-fire-tv-stick-lite-de-voz-full-hd-8gb-negro-con-memoria-ram-de-1gb/p/MLA16369065
fire stick;Fire Tv Stick 4k Amazon;7999.99;1;5;https://articulo.mercadolibre.com.ar/MLA-898709517-fire-tv-stick-4k-amazon-_JM
fire stick;Amazon Fire Tv Stick 2nd Generation Fullhd 8gb Alexa Voice;8199;1;5;https://articulo.mercadolibre.com.ar/MLA-869906411-amazon-fire-tv-stick-2nd-generation-fullhd-8gb-alexa-voice-_JM
fire stick;Amazon Fire Tv Stick 2nd Generation Fullhd 8gb Alexa Voice;10199;1;1;https://articulo.mercadolibre.com.ar/MLA-874274069-amazon-fire-tv-stick-2nd-generation-fullhd-8gb-alexa-voice-_JM
fire stick;Amazon Fire Tv Stick (2nd Generation)  Full Hd 8gb Negro;6999;1;1;https://articulo.mercadolibre.com.ar/MLA-900341050-amazon-fire-tv-stick-2nd-generation-full-hd-8gb-negro-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;9699;1;5;https://articulo.mercadolibre.com.ar/MLA-873978802-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;7999;1;25;https://articulo.mercadolibre.com.ar/MLA-897072207-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
